61198181###22-Р03-400/1154-ДС1###21.04.2023###31.08.2023###400243110###Учреждение "Гомельское областное управление Министерства по чрезвычайным ситуациям Республики Беларусь"###1###246023, Республика Беларусь, Гомельская обл., г.Гомель, пр-т Речицкий, 35А/14###133###27,2###32,64###20###5,44###
61264573###23-01-РУЦ/34639###29.04.2023###15.08.2023###100619144###Министерство юстиции Республики Беларусь###1###220004, РБ, г. Минск, ул.Коллекторная, д.10###013###69###82,8###20###13,8###PC_IIC
61312173###23-01-РУЦ/35386###04.05.2023###04.08.2023###100614142###Минское городское управление Фонда социальной защиты населения Министерства труда и социальной защиты Республики Беларусь###1###220012, РБ, г. Минск, ул.Кедышко, д.16а###016###84,25###101,1###20###16,85###PC_IIC
61320006###23-01-РУЦ/35562###05.05.2023###16.08.2023###100519917###Учреждение здравоохранения "15-я городская детская поликлиника"###1###220117, РБ, г. Минск, ул.Голубева, д.27###013###69###82,8###20###13,8###PC_IIC
61320038###23-01-РУЦ/35564###05.05.2023###30.08.2023###100519917###Учреждение здравоохранения "15-я городская детская поликлиника"###1###220117, РБ, г. Минск, ул.Голубева, д.27###013###69###82,8###20###13,8###PC_IIC
61320094###23-01-РУЦ/35568###05.05.2023###23.08.2023###100519917###Учреждение здравоохранения "15-я городская детская поликлиника"###1###220117, РБ, г. Минск, ул.Голубева, д.27###013###69###82,8###20###13,8###PC_IIC
61333174###23-01-РУЦ/35815###05.05.2023###24.08.2023###100124836###Учреждение "Минское городское управление Министерства по чрезвычайным ситуациям Республики Беларусь"###1###220037, РБ, г. Минск, ул.Козлова, д.26, корп.8###011###102,8###123,36###20###20,56###PC_IIC
61495985###23-Р01-800/427###22.05.2023###14.08.2023###201019650###Управление Следственного комитета Республики Беларусь по Брестской области###1###224016, Республика Беларусь, г.Брест, ул.Пушкинская, д.63###011###102,8###123,36###20###20,56###
61569271###23-01-РУЦ/39896###25.05.2023###01.08.2023###100122739###Администрация Московского района города Минска###1###220036, РБ, г. Минск, пр-т Дзержинского, д.10###121###64,05###76,86###20###12,81###PC_IIC
61585555###23-01-РУЦ/40160###26.05.2023###08.08.2023###100864035###Министерство обороны Республики Беларусь###1###220034, РБ, г. Минск, ул.Коммунистическая, д.1###013###69###82,8###20###13,8###PC_IIC
61590142###23-01-РУЦ/40216###26.05.2023###04.08.2023###100241188###Учреждение здравоохранения "6-я городская клиническая больница"###1###220037, РБ, г. Минск, ул.Уральская, д.5###011###102,8###123,36###20###20,56###PC_IIC
61615061###23-01-РУЦ/40671###29.05.2023###02.08.2023###600208266###Учреждение здравоохранения "Минская центральная районная клиническая больница"###1###223053, РБ, Минская обл., Минский р-н, д. Боровляны, ул.Фрунзенская, д.1###013###69###82,8###20###13,8###PC_IIC
61636094###23-01-РУЦ/41014###30.05.2023###15.08.2023###102381805###Министерство внутренних дел Республики Беларусь###1###220030, РБ, г. Минск, ул.Городской Вал, д.4###013###69###82,8###20###13,8###PC_IIC
61673325###22-P04-100/1886-ДС1###01.06.2023###08.08.2023###500080168###Гродненский областной комитет природных ресурсов и охраны окружающей среды###1###230023, Республика Беларусь, г.Гродно, ул.Советская, д.23###133###27,2###32,64###20###5,44###
